Row_No,Name,Change,Change (%),Price (Intraday),YTD Return (%),3-Mo Return (%),1-Year Return (%),3-Year Return (%),5-Year Return (%),Net Expense Ratio (%),Gross Expense Ratio (%),Net Assets,50 Day Avg,200 Day Avg,52 Week Range,Exchange,Funds by Category,Funds by Company,52 Week Low,52 Week High
9787,BNY Mellon Worldwide Growth C,0.55,1.12,49.84,4.27,2.62,12.58,21.39,22.77,0.91,0.91,896365000.0,47.57,48.91,42.07 58.92,Nasdaq,Global Large-Stock Growth,Bny Mellon,42.07,58.92
9788,BNY Mellon Worldwide Growth A,0.71,1.06,68.0,4.73,2.81,13.49,22.4,23.68,0.91,0.91,896365000.0,64.88,65.72,57.29 75.88,Nasdaq,Global Large-Stock Growth,Bny Mellon,57.29,75.88
9789,NYLI WMC Value Class A,0.35,0.99,35.65,13.54,6.68,14.34,8.99,25.99,1.23,1.23,896352000.0,33.93,32.44,30.43 35.30,Nasdaq,Large Value,New York Life Investment Management Llc,30.43,35.3
9790,NYLI WMC Value Class C,0.22,0.96,23.15,12.9,6.4,13.26,7.95,24.68,1.23,1.23,896352000.0,22.06,21.26,19.83 22.93,Nasdaq,Large Value,New York Life Investment Management Llc,19.83,22.93
9791,NYLI WMC Value Class R6,0.38,0.98,38.97,16.06,8.73,-4.52,13.59,-7.0,1.23,1.23,896352000.0,37.08,35.4,33.22 38.59,Nasdaq,Large Value,New York Life Investment Management Llc,33.22,38.59
9792,NYLI WMC Value Investor Class,0.35,0.99,35.68,13.35,6.58,14.15,8.78,25.65,1.23,1.23,896352000.0,33.97,32.49,30.48 35.33,Nasdaq,Large Value,New York Life Investment Management Llc,30.48,35.33
9793,NYLI WMC Value Class I,0.38,0.98,39.03,13.74,6.74,14.73,9.38,26.37,1.23,1.23,896352000.0,37.14,35.46,33.28 38.65,Nasdaq,Large Value,New York Life Investment Management Llc,33.28,38.65
9794,Nomura Global Growth Fund Class I,0.58,1.29,45.57,10.7,5.39,18.16,19.34,17.68,1.31,1.31,896097000.0,44.07,42.45,37.71 44.99,Nasdaq,Global Large-Stock Growth,Nomura,37.71,44.99
9795,Nomura Global Growth Fund Class R6,0.59,1.31,45.7,10.75,5.4,18.28,19.4,17.86,1.31,1.31,896097000.0,44.19,42.56,37.80 45.11,Nasdaq,Global Large-Stock Growth,Nomura,37.8,45.11
9796,Nomura Global Growth Fund Class A,0.55,1.31,42.65,10.53,5.3,17.85,19.05,17.45,1.31,1.31,896097000.0,41.26,39.8,35.32 42.10,Nasdaq,Global Large-Stock Growth,Nomura,35.32,42.1
9797,Nomura Global Growth Fund Class Y,0.55,1.29,43.13,10.54,5.32,17.84,19.02,17.46,1.31,1.31,896097000.0,41.72,40.24,35.72 42.58,Nasdaq,Global Large-Stock Growth,Nomura,35.72,42.58
9798,Nomura Global Growth Fund Class C,0.29,1.29,22.84,10.05,5.13,16.96,18.17,16.37,1.31,1.31,896097000.0,22.11,21.72,18.97 23.97,Nasdaq,Global Large-Stock Growth,Nomura,18.97,23.97
9799,Nomura Global Growth Fund Class R,0.52,1.29,40.9,10.39,5.27,17.57,18.77,16.98,1.31,1.31,896097000.0,39.57,38.23,33.90 40.26,Nasdaq,Global Large-Stock Growth,Nomura,33.9,40.26
9800,PGIM Jennison Global Equity Income C,0.22,1.52,14.67,15.86,1.93,23.85,9.48,20.35,0.89,0.89,895817000.0,14.77,13.82,12.43 15.29,Nasdaq,Global Large-Stock Value,Pgim,12.43,15.29
9801,PGIM Jennison Global Equity Income Fund,0.26,1.47,17.91,16.81,2.27,25.23,10.73,21.56,0.89,0.89,895817000.0,18.03,16.78,14.90 18.64,Nasdaq,Global Large-Stock Value,Pgim,14.9,18.64
9802,PGIM Jennison Global Equity Income R,0.26,1.47,17.94,16.35,2.08,24.55,10.09,20.91,0.89,0.89,895817000.0,18.05,16.81,14.92 18.68,Nasdaq,Global Large-Stock Value,Pgim,14.92,18.68
9803,PGIM Jennison Global Equity Income R6,0.27,1.52,17.98,16.78,2.29,25.41,10.89,21.67,0.89,0.89,895817000.0,18.09,16.84,14.95 18.71,Nasdaq,Global Large-Stock Value,Pgim,14.95,18.71
9804,PGIM Jennison Global Equity Income A,0.27,1.53,17.94,16.59,2.21,24.95,10.41,21.2,0.89,0.89,895817000.0,18.05,16.81,14.92 18.68,Nasdaq,Global Large-Stock Value,Pgim,14.92,18.68
9805,Empower High Yield Bond Instl,0.07,0.63,11.15,4.36,0.36,9.34,11.55,4.03,1.03,1.03,892416000.0,11.1,10.86,10.45 11.23,Nasdaq,High Yield Bond,Empower Funds,10.45,11.23
